FACILITY_ZIP,Count,Average,Median,Stdev,Min,Max
91502,1007,95.0129,95,3.236,77,100
90037,844,93.9313,94,3.9352,70,100
91792,510,93.0824,93,3.3684,77,99
91301,499,95.7054,96,2.7819,82,100
90201,1202,94.3344,95,3.357,78,100
90250,981,92.8767,93,3.654,76,100
91356,856,94.3061,95,3.2335,71,100
90232,795,92.7119,93,3.7853,70,100
90023,545,93.6789,94,4.205,72,100
91342,609,93.3087,94,3.2097,79,100
91344,729,94.2469,95,3.3476,70,100
90049,514,93.8969,94,3.5636,73,100
90020,1287,92.3869,93,4.2196,70,100
91350,608,94.7878,95,3.3235,70,100
90012,2229,93.4836,94,3.7132,73,100
91740,728,94.3104,95,3.1295,71,100
90033,659,94.0182,95,3.9268,70,100
91201,502,94.2948,94,3.1186,80,100
90210,848,93.4741,94,3.245,74,100
90069,1448,92.355,93,3.4909,70,100
91773,659,95.0744,95,2.8761,80,100
90013,927,94.0518,95,3.6532,74,100
90670,480,93.0604,93,3.4542,71,100
91401,642,94.6246,95,3.6311,74,100
90220,442,93.0226,94,4.6797,70,100
90041,685,94.2073,94,2.7463,75,100
91351,739,95.3599,96,2.9603,80,100
90036,1596,93.3571,94,3.6796,70,100
90016,493,94.7992,96,3.7311,80,100
90001,658,92.0502,92,4.6708,71,100
90007,923,94.481,95,3.1907,75,100
91006,679,94.8409,96,3.4034,81,100
90014,1014,93.783,94,3.6883,73,100
90503,844,93.0225,93,3.4731,74,100
91733,877,94.52,95,3.3661,73,100
91605,828,92.9408,94,3.8009,70,100
91335,1003,93.9312,94,3.7345,70,100
91767,655,93.5603,94,3.2072,75,100
91741,192,94.3333,95,2.6719,86,100
90405,1016,93.8445,94,3.4229,74,100
91364,937,95.381,96,2.7795,77,100
90029,826,93.9516,94,3.5918,72,100
91040,261,93.5977,94,2.4827,80,99
91790,949,92.8303,93,3.3828,72,100
91505,1104,94.2328,95,3.1593,80,100
90024,1135,93.1515,94,4.1069,70,100
91770,955,94.2126,95,4.1186,74,100
90006,1281,92.8743,93,4.2941,71,100
91754,1116,89.9427,91,5.6428,70,100
90506,18,92.8333,93,2.0069,90,97
90504,387,92.1189,92,3.4403,76,98
91745,730,92.4164,93,4.2667,72,100
90230,986,92.7454,93,3.9617,70,100
90025,1398,92.3712,92,4.2856,70,100
90723,772,94.1943,95,3.2676,76,100
91387,244,95.2008,96,3.6051,78,100
91750,524,94.1756,94,2.9036,80,100
90046,1316,92.7014,93,3.7475,70,100
90277,1035,92.5565,93,3.9508,70,100
90241,943,93.5101,94,3.5514,73,100
90005,1054,92.1148,93,4.2888,70,100
91204,538,93.777,94,2.9705,80,100
91436,447,94.906,95,3.1933,77,100
91711,769,93.749,94,2.8565,81,100
90021,493,93.5396,94,3.9716,71,100
91214,332,94.1837,95,3.0694,71,100
90003,552,91.5906,92,4.4108,71,100
91732,689,93.5472,94,3.6248,70,100
90047,427,93.0375,93,3.6238,75,100
91406,783,93.5441,94,4.0055,72,100
90280,1418,94.5099,95,3.8732,70,100
90004,930,93.9591,94,3.5391,71,100
90015,1660,93.8608,95,4.1777,70,100
91776,1417,92.8652,94,4.6893,70,100
90026,1173,93.9778,94,3.0833,73,100
91405,804,93.6132,94,3.344,71,100
90706,926,93.6674,94,3.4904,72,100
90032,360,93.4417,94,3.7516,80,100
90601,554,92.8321,93,3.3506,75,100
91367,693,95.4502,96,2.8643,80,100
90291,891,92.9719,93,3.7686,70,100
91748,1712,91.4305,92,4.6629,70,100
90011,696,93.4368,94,3.9175,70,100
90039,626,94.254,95,2.8734,80,100
91403,731,93.9193,94,3.4756,75,100
90292,873,93.0378,93,4.1883,70,100
91007,1207,93.4209,94,4.5834,70,100
90010,829,93.4355,94,3.9423,74,100
90266,901,93.0954,93,3.5921,72,100
91311,810,94.1617,95,4.0885,70,100
90301,600,92.905,93,3.7224,71,100
91321,617,95.5429,96,3.4135,76,100
90640,1215,93.3152,94,3.9794,70,100
91765,652,93.977,94,3.6412,72,100
91601,856,94.1215,94,3.4556,75,100
90058,244,92.5574,93,3.962,70,100
90045,2001,93.0245,94,4.4216,71,100
90221,605,93.4215,94,3.9366,71,100
91801,1031,91.4045,92,4.9828,70,100
90704,164,86.2134,87,6.5758,70,99
90038,743,94.5895,95,3.3543,74,100
90027,1388,94.6772,95,2.9267,80,100
90255,1254,92.8892,94,4.0576,72,100
91744,696,92.7658,93,3.6693,71,100
91411,362,93.9724,94,3.6504,80,100
91303,821,94.3788,95,3.5412,73,100
90278,569,93.0967,93,3.7641,75,100
91343,472,92.8517,93,3.2285,77,100
90242,544,93.3952,94,3.3448,73,100
91780,591,94.225,95,3.2652,76,100
91606,725,94.24,95,3.3508,70,100
90660,986,93.7475,95,3.878,73,100
91042,309,93.3528,94,3.331,71,100
91766,813,93.5412,94,3.5535,78,100
90262,935,94.092,95,3.8651,72,100
91731,697,93.6298,94,3.7237,75,100
91723,372,92.9167,93,3.1718,74,100
90402,137,94.5255,95,3.8571,72,100
93550,687,94.7889,96,3.7658,74,100
90703,1168,92.107,92,4.41,71,100
90089,240,96.4292,97,1.745,87,100
90044,396,92.0606,92,3.8319,73,99
91304,546,93.2821,94,4.5016,70,100
91423,839,93.9154,94,2.8713,82,100
90744,552,92.6014,93,3.9316,70,100
90650,1122,93.1836,94,4.3094,74,100
90019,935,93.0642,94,3.9527,70,100
90022,966,92.4224,93,4.5916,70,100
91722,482,93.1743,93,3.5631,70,100
90222,128,93.3828,94,4.217,72,99
90028,2068,94.7664,95,3.398,70,100
90505,1059,92.2521,93,3.9884,70,100
90606,313,93.1853,93,3.4968,80,100
91604,1322,93.8812,94,3.3831,71,100
93534,1121,94.4005,95,3.6162,73,100
91326,260,95.3308,96,3.7823,70,100
90712,620,93.9371,94,3.1342,80,100
90501,873,91.0836,91,4.5467,70,100
91706,1038,94.9345,96,3.2759,77,100
93535,308,96.1266,97,2.781,84,100
90017,1113,93.7691,94,4.063,71,100
91324,1534,94.9844,96,3.4215,75,100
91602,430,93.6116,94,2.9279,72,100
90240,495,93.6929,94,3.2867,73,100
91789,740,93.573,94,3.6308,80,100
90042,696,93.6394,94,2.7726,80,100
90040,447,95.4362,96,3.182,80,100
91306,385,94.6727,96,3.9401,77,100
90211,377,92.4218,92,2.521,80,100
90063,491,93.5336,94,4.3722,70,100
93536,580,93.5741,94,3.6714,72,100
91205,756,93.4841,94,3.2944,74,100
90031,311,93.0064,94,4.5122,71,100
90054,17,94.5882,95,2.8088,90,99
90265,422,94.2986,95,3.7074,79,100
90066,679,93.4698,94,4.2317,72,100
90638,635,93.2315,93,3.3023,74,100
90035,769,92.7542,93,3.6015,70,100
90717,417,90.741,91,4.003,70,99
90064,1044,93.3439,94,4.4885,70,100
90602,325,93.7415,94,3.2668,81,100
91702,892,94.3498,95,3.3903,80,100
90247,880,92.1307,92,4.367,70,100
90745,747,92.5074,93,4.5462,70,100
91340,682,93.3284,94,3.2189,73,100
90245,1132,92.1148,92,3.0715,74,100
90249,675,91.6059,92,4.1621,74,100
90071,627,93.8852,94,3.4069,80,100
91402,910,93.7374,94,3.5026,71,100
91104,37,93,94,3.2797,85,97
90502,248,91.4234,92,4.6932,71,99
90212,514,92.6595,93,3.0018,73,100
91016,1047,94.9733,95,3.1712,80,100
91107,193,94.0622,95,3.6186,80,99
90048,1168,91.9401,92,2.8925,73,99
90701,894,92.7148,93,5.0685,70,100
90716,343,91.7201,92,4.5858,71,100
90065,471,94.051,95,3.1498,76,100
90401,1405,93.9516,94,3.5893,70,100
91331,871,93.3995,94,3.1336,76,100
90731,736,92.4402,93,3.8021,72,100
91206,270,94.2296,95,3.4436,80,100
91504,410,95.3195,96,2.5333,84,100
90260,470,92.8447,93,3.2823,80,99
90293,161,92.646,93,3.0287,81,99
90303,405,94.0988,95,3.8407,71,100
90304,363,90.9229,91,4.3,70,98
90603,283,93.8198,94,3.2968,79,100
90710,238,93.0294,93,3.7105,74,99
90254,632,93.9367,94,3.306,77,100
91207,30,93.8,93,2.0559,90,99
91001,181,93.9006,94,2.9974,80,100
91506,412,94.7767,95,3.0503,80,100
91316,513,94.1676,95,3.5115,75,100
90404,411,93.528,94,3.6081,80,100
90746,414,92.3913,94,5.7995,70,100
90732,240,93.3417,94,4.1362,80,100
90270,415,95.7855,96,3.6523,77,100
90248,495,92.1111,92,4.3258,72,100
91030,457,93.3501,93,2.9093,76,100
90018,342,93.0292,94,3.983,78,100
91202,268,93.3172,93,2.7332,81,99
91755,202,90.3317,91,6.4312,70,100
93552,258,96.469,98,3.0893,83,100
91208,184,94.3804,95,2.8451,82,100
91768,452,93.5885,94,3.5814,77,100
90272,338,94.9763,95,2.9979,74,100
91203,581,93.7814,94,2.7604,81,100
90604,195,95.4769,96,3.3102,74,100
90068,248,94.6532,95,2.8271,80,100
90263,47,96.8723,97,1.2483,94,99
90715,207,91.5362,92,4.7301,71,99
91325,494,94.253,95,3.7023,74,100
91011,392,94.5816,95,3.3371,77,100
91020,309,93.8803,94,2.6258,82,100
90034,676,92.8476,93,4.5112,71,100
90403,588,93.8418,94,3.8678,75,100
91361,92,96.6304,97,2.4703,90,100
90302,279,92.4337,93,3.9279,70,100
91803,398,92.0402,93,5.4688,70,100
90059,157,94.1783,94,3.5932,76,99
90062,149,93.1275,94,3.9243,80,100
91607,417,95.1727,96,3.3435,77,100
90225,5,94.4,94,2.5768,90,97
91355,1528,95.7507,97,3.2823,79,100
91362,264,95.9735,97,3.123,77,100
90755,202,87.5495,90,7.0514,70,100
91108,142,93.7324,94,4.0016,73,99
91384,226,93.8319,94,4.2236,74,100
91302,428,95.3131,96,3.0256,81,100
91746,328,92.3476,92,3.7847,77,100
90631,31,94.7419,96,3.8435,81,100
93543,77,96.2468,97,2.0268,90,99
91345,237,94.4768,95,2.7306,78,100
90067,557,92.8043,93,3.1514,76,100
90008,273,94.033,95,4.0783,73,100
91608,372,96.1398,97,2.775,80,100
90713,313,92.0415,92,4.047,77,100
90057,641,93.1342,94,4.3254,71,100
91381,243,95.5144,97,3.7365,72,100
91210,299,93.9699,95,3.3155,72,100
90275,336,91.4226,92,4.2454,70,99
91791,437,93.2769,94,3.6605,77,100
90274,271,91.9594,92,3.6349,80,99
90305,159,95.6918,97,4.0947,70,100
91724,189,94.0529,94,3.1316,84,100
90605,424,95.184,95,2.7514,80,100
91352,448,93.3371,94,3.3106,70,100
93551,825,94.1697,95,3.9824,70,100
91307,334,95.1437,96,2.9135,81,100
90061,186,92.5806,94,4.7322,73,100
90043,248,92.2016,92,3.5684,74,98
91775,106,94.2358,95,2.9891,81,99
91390,47,94.7872,95,2.6891,90,99
90002,126,94.2143,95,3.7683,81,100
90253,6,88.8333,89,3.6248,82,93
91354,91,95.033,96,4.3914,80,100
91024,146,94.1918,94,3.3948,82,99
91690,3,91.3333,97,6.65,82,97
91522,22,96.9091,97,1.5641,93,100
93510,109,94.6972,94,3.2496,81,99
91867,15,95.5333,97,2.1868,91,98
90806,8,94,95,2.5495,90,97
90094,133,93.7293,94,3.4492,82,99
91600,5,95.8,97,1.9391,93,98
91010,277,94.6137,95,3.4082,80,100
90079,16,93.8125,95,3.5039,84,98
90810,66,89.4545,90,5.7371,70,98
91521,28,96.3929,97,1.915,92,100
90424,10,98.3,98,1.8466,94,100
91023,8,90.625,91,1.5762,87,92
91109,21,99.2381,100,0.9209,98,100
90646,7,95,95,2.2039,92,99
90801,25,90.76,91,3.5359,80,95
93243,29,92.2069,93,5.2875,73,99
90123,6,97.1667,97,0.3727,97,98
90509,7,89.7143,92,3.2388,86,95
90296,6,92.6667,92,2.4944,90,96
90290,39,93.4359,95,4.0433,81,99
91209,16,92.1875,92,1.0136,90,94
93553,14,97.5,98,1.4516,94,99
90077,127,93.7795,94,2.8997,84,99
91762,6,96.3333,96,1.6997,93,98
91430,11,97,98,2.4121,90,99
90620,8,95,97,2.7839,90,98
90095,27,97.2222,98,1.3147,94,99
92821,7,96,97,1.4142,94,98
90651,18,92.6667,92,2.6034,90,98
91701,16,91.875,91,4.9734,77,99
91314,5,96.2,96,0.7483,95,97
91772,3,94.3333,96,2.357,91,96
92688,5,95.6,97,3.2619,90,99
90805,17,95.7059,96,4.0112,84,100
91122,5,92.4,92,1.4967,90,94
90286,7,95,96,2.2039,90,97
91707,17,93.5882,93,4.4067,80,100
91176,5,91.4,91,1.3565,90,93
90756,4,96.25,97,0.8292,95,97
90056,49,92.6939,93,3.4829,80,98
91004,5,95.6,97,3.0067,90,98
91330,109,96.9817,97,1.9768,91,100
90609,7,94.2857,95,2.3733,90,97
90252,7,90.7143,94,3.9175,84,95
91501,68,95.3824,95,3.6863,80,100
91383,7,93,94,1.5119,91,95
92614,7,94.7143,95,1.2778,93,97
93532,8,93.125,93,2.315,90,97
90802,7,95.2857,98,3.6533,88,99
91751,5,93.8,94,1.1662,92,95
90030,7,93.7143,95,2.7105,90,97
90813,4,91,90,1.7321,90,94
91715,5,97.4,97,1.0198,96,99
90747,33,91.697,92,3.597,81,97
91761,4,97,97,1.4142,95,99
91752,4,92.25,92,1.6394,91,95
91510,6,96.1667,96,0.6872,95,97
93591,53,95.3585,96,2.9015,90,99
91029,8,92.25,93,3.0721,86,97
91341,4,94.5,95,2.2913,92,98
93544,7,96.4286,99,2.9692,92,99
92602,9,92,95,5.8878,80,97
90086,7,93.7143,95,2.1853,90,96
91371,19,93.2105,93,2.4619,90,97
93105,8,95.375,96,2.2326,90,98
90233,5,92,92,3.5214,86,96
91793,6,97.3333,97,1.5986,95,100
91771,2,96.5,95,1.5,95,98
90070,4,91.75,92,0.8292,91,93
93036,6,94.5,94,1.893,91,97
90103,7,90.1429,90,0.3499,90,91
91503,7,94.1429,95,1.8844,91,97
91769,8,96.625,97,1.111,95,98
90637,5,94.6,95,1.8547,92,97
90214,4,93.5,95,2.2913,90,96
90368,5,92.6,93,1.8547,90,95
90510,5,85.2,88,4.8744,78,91
90702,5,95,96,2.1909,92,98
90636,2,95.5,95,0.5,95,96
91735,5,95.4,96,0.8,94,96
90353,3,96.6667,99,2.6247,93,99
90808,3,97,98,0.8165,96,98
91328,4,97.5,98,1.118,96,99
91329,5,94.2,96,4.2143,87,98
91347,3,94,96,2.1602,91,96
91640,3,93,94,0.8165,92,94
91710,2,91,90,1,90,92
90653,2,92.5,90,2.5,90,95
90708,2,92.5,92,0.5,92,93
91709,1,90,90,0,90,90
91680,2,94,91,3,91,97
91778,2,97.5,97,0.5,97,98
91749,1,78,78,0,78,78
90052,1,90,90,0,90,90
91564,2,97,96,1,96,98
90524,1,94,94,0,94,94
91333,2,93.5,92,1.5,92,95
90229,2,96.5,95,1.5,95,98
90204,2,95,94,1,94,96
91416,2,95.5,95,0.5,95,96
90639,1,90,90,0,90,90
2337,2,91.5,90,1.5,90,93
91450,2,93.5,91,2.5,91,96
60241,1,97,97,0,97,97
91365,2,91.5,90,1.5,90,93
91743,1,81,81,0,81,81
90131,1,94,94,0,94,94
91106,1,97,97,0,97,97
